Number	Address	CrimeType	Date	Time
17-OPD-0001	3770 SOUTHPOINTE PKWY	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	12/31/16	11:54:00PM
17-OPD-0002	101 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	1/1/17	12:33:00AM
17-OPD-0004	36 East High Street	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	1/1/17	1:38:00AM
17-OPD-0005	36 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	1/1/17	1:28:00AM
17-OPD-0006	28 W HIGH ST	OPD - 529.02E - Underage Person; Possession/Consumption	12/31/16	11:35:00PM
17-OPD-0007	302 S MAIN ST	Theft - 23F	1/1/17	8:25:00AM
17-OPD-0009	317 W CHESTNUT ST	SUICIDAL PERSON	1/1/17	4:22:00PM
17-OPD-0010	S COLLEGE AV // W COLLINS ST	unspecified	1/1/17	9:09:00PM
17-OPD-0011	115 S ELM ST	Campbell Jeffrey S	1/2/17	1:54:00PM
17-OPD-0013	110 N POPLAR ST	"Rape - Force, Threat Of"	1/2/17	11:38:00PM
17-OPD-0014	5201 College Corner Pike	Theft - motor vehicle	1/22/17	12:00:00AM
17-OPD-0016	4985 College Corner Pike	Theft -Deception	1/4/17	9:07:00AM
17-OPD-0017	15 N POPLAR ST	"Possession of Drugs_schedule III, IV, or V substance"	1/3/17	2:40:00PM
17-OPD-0019	5399 COLLEGE CORNER PIKE	unspecified	1/4/17	6:32:00PM
17-OPD-0020	36 E HIGH ST	Theft - 23D	1/5/17	12:00:00AM
17-OPD-0022	5252 COLLEGE CORNER PIKE	unspecified	1/5/17	10:04:00PM
17-OPD-0023	5252 COLLEGE CORNER PIKE	WARRANT ASSIST / ARREST	1/5/17	11:03:00PM
17-OPD-0024	340 S. Locust St.	OPD - 545.05 - Theft (All Other Larceny)	1/6/17	8:20:00AM
17-OPD-0025	325 Foxfire Dr.	Theft - 23D	1/6/17	1:43:00PM
17-OPD-0027	325 Foxfire Dr.	OPD - 545.05 - Theft (Theft from Building)	1/7/17	12:00:00AM
17-OPD-0028	5201 College Corner Pike	Burglary - Purpose To Commit Misdemeanor/Not Theft Offense	1/6/17	4:35:00PM
17-OPD-0029	S MAIN ST // SPRING ST	Drug Paraphernalia	1/7/17	12:40:00AM
17-OPD-0030	33 E HIGH ST	OVI - ANY CHEMICAL	1/7/17	2:21:00AM
17-OPD-0031	315 N CAMPUS AV	Theft - 23G	1/7/17	9:12:00AM
17-OPD-0032	4985 COLLEGE CORNER PIKE	WARRANT ASSIST / ARREST	1/7/17	8:06:00PM
17-OPD-0033	15 S COLLEGE AV	DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL/DRUGS	1/7/17	4:22:00AM
17-OPD-0034	315 South College Avenue	Theft - 23D	1/8/17	1:41:00AM
17-OPD-0036	5720 COLLEGE CORNER PIKE	Theft - 23C	1/8/17	11:45:00AM
17-OPD-0037	5720 COLLEGE CORNER PIKE	Theft - 23H	1/8/17	5:34:00PM
17-OPD-0042	300 S LOCUST ST	OPD - 545.05 - Theft (Shoplifting)	1/10/17	12:56:00PM
17-OPD-0043	5061 Red Cloud Court	Burglary	1/11/17	5:01:00AM
17-OPD-0045	300 S LOCUST ST	Theft -Without Consent - 23C	1/11/17	2:20:00PM
17-OPD-0047	36 E HIGH ST	Theft -Without Consent	1/11/17	11:26:00PM
17-OPD-0049	5301 University Park BLVD	Inducing Panic - circulating report/warning	1/12/17	1:49:00PM
17-OPD-0050	701 CARTER CT	Theft - 23F	1/12/17	5:13:00PM
17-OPD-0051	5354 COLLEGE CORNER PIKE	unspecified	1/12/17	10:58:00PM
17-OPD-0052	E. High St. @ Poplar St	OPD - 529.02E - Underage Person; Possession/Consumption	1/13/17	1:40:00AM
17-OPD-0053	260 S LOCUST ST	PHYSICAL CONTROL OF VEHICLE WHILE UNDER INFLUENCE	1/13/17	3:04:00AM
17-OPD-0055	5190 COLLEGE CORNER PIKE	unspecified	1/13/17	12:11:00PM
17-OPD-0057	35 W. High St.	OPD - 545.05 - Theft (Shoplifting)	1/13/17	4:24:00PM
17-OPD-0058	321 N ELM ST	unspecified	1/13/17	5:24:00PM
17-OPD-0062	5262 BROWN RD	OPD - 529.02E - Underage Person; Possession/Consumption	1/14/17	2:31:00AM
17-OPD-0063	302 S MAIN ST	Criminal Damaging/Endangering	1/14/17	3:28:00AM
17-OPD-0064	909 ARROWHEAD DR	OPD - 529.02E - Underage Person; Possession/Consumption	1/14/17	11:14:00PM
17-OPD-0065	East Park Place	Disorderly Conduct - intoxicated create risk of harm	1/15/17	1:44:00AM
17-OPD-0067	200-BLK N BEECH ST	OVI - ANY CHEMICAL	1/15/17	2:50:00AM
17-OPD-0068	S MAIN ST // COLLINS ST	WARRANT ASSIST / ARREST	1/15/17	11:57:00AM
17-OPD-0069	5262 BROWN RD	REPEAT TRAFFIC OFFENDER; POINT SYSTEM SUSPENSION	1/16/17	7:28:00AM
17-OPD-0070	19 APPLEWOOD CIR	VEHICLE TRESPASS	1/17/17	5:51:00AM
17-OPD-0071	5262 BROWN RD	Theft - 23F	1/17/17	11:19:00AM
17-OPD-0072	5825 K BELL ST	unspecified	1/17/17	11:29:00AM
17-OPD-0073	509 LINCOLN ST	Theft - 23F	1/17/17	12:13:00PM
17-OPD-0074	131 E Withrow St	Burglary	1/17/17	6:06:00PM
17-OPD-0075	509 N CAMPUS AV	Theft -Without Consent	1/17/17	9:12:00PM
17-OPD-0076	254 NORTHRIDGE DR	Criminal Damaging/Endangering	1/18/17	7:27:00AM
17-OPD-0077	5720 COLLEGE CORNER PIKE	Criminal Trespass	1/18/17	11:58:00AM
17-OPD-0078	519 BROOKVIEW CT	Domestic Violence - knowingly cause physical harm	1/19/17	12:00:00AM
17-OPD-0079	115 HOMESTEAD AV	Theft - 23F	1/18/17	1:58:00PM
17-OPD-0080	5201 COLLEGE CORNER PIKE	unspecified	1/18/17	8:41:00PM
17-OPD-0081	5301 UNIVERSITY PARK BV	unspecified	1/19/17	2:17:00PM
17-OPD-0082	241 EISENHOWER WAY	Burglary - Purpose To Commit Theft Offense Or Felony	1/19/17	3:07:00PM
17-OPD-0083	5086 COLLEGE CORNER PIKE	WARRANT ASSIST / ARREST	1/19/17	10:15:00PM
17-OPD-0084	23 W SPRING ST	Criminal Damaging/Endangering - Knowingly Any Means	1/20/17	10:17:00AM
17-OPD-0086	5720 COLLEGE CORNER PIKE	Theft -Without Consent	1/20/17	9:53:00PM
17-OPD-0087	5201 College Corner Pike	unspecified	1/20/17	10:50:00PM
17-OPD-0088	213 N CAMPUS AV	Burglary - Purpose To Commit Theft Offense Or Felony	1/20/17	11:40:00PM
17-OPD-0090	36 E HIGH ST	PROHIBITED ACTS	1/21/17	12:44:00AM
17-OPD-0091	100 N POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	1/21/17	2:19:00AM
17-OPD-0092	6099 FAIRFIELD RD	Theft - 23F	1/21/17	11:13:00AM
17-OPD-0093	224 E CHURCH ST	Criminal Damaging/Endangering - Knowingly Any Means	1/21/17	11:51:00AM
17-OPD-0094	209 N CAMPUS AV	Criminal Damaging/Endangering - Knowingly Any Means	1/21/17	2:02:00PM
17-OPD-0095	36 E HIGH ST	Theft -Without Consent	1/21/17	4:44:00PM
17-OPD-0096	36 East High Street	Certain Acts Prohibited; False ID	1/21/17	9:14:00PM
17-OPD-0098	E CHESTNUT ST // CEDAR DR	Tampering w/ Evidence	1/21/17	11:28:00PM
17-OPD-0099	224 E CHURCH ST	Criminal Damaging/Endangering - Knowingly Any Means	1/22/17	12:59:00PM
17-OPD-0100	12 S POPLAR ST	Criminal Damaging/Endangering	1/22/17	1:57:00PM
17-OPD-0103	210 W COLLINS ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	1/23/17	11:13:00AM
17-OPD-0105	5201 COLLEGE CORNER PIKE	unspecified	1/23/17	3:26:00PM
17-OPD-0106	110 UNIVERSITY AV	Criminal Mischief	1/23/17	3:19:00PM
17-OPD-0107	5055 COLLEGE CORNER PIKE	Theft - 23C	1/23/17	3:32:00PM
17-OPD-0108	5720 COLLEGE CORNER PIKE	Theft - 23C	1/23/17	11:38:00PM
17-OPD-0109	5201 COLLEGE CORNER PIKE	Criminal Damaging/Endangering	1/24/17	8:53:00PM
17-OPD-0110	4985 COLLEGE CORNER PIKE	Theft - 23H	1/24/17	10:54:00PM
17-OPD-0111	340 N LOCUST ST	"Robbery - Force, Threat Of Force"	1/25/17	1:10:00AM
17-OPD-0112	201 E CHESTNUT ST	FAILURE TO REINSTATE A LICENSE	1/25/17	4:03:00AM
17-OPD-0113	102 TALLAWANDA RD	Theft - 23H	1/25/17	12:45:00PM
17-OPD-0114	11 S POPLAR ST	unspecified	1/25/17	11:15:00AM
17-OPD-0115	12 W CHESTNUT ST	Passing Bad Checks	1/25/17	1:26:00PM
17-OPD-0116	5141 RED CLOUD CT	Theft - motor vehicle	1/25/17	2:44:00PM
17-OPD-0117	5720 COLLEGE CORNER PIKE	Theft -Without Consent - 23C	1/25/17	4:10:00PM
17-OPD-0118	5720 College Corner Pike	Theft -Deception	1/25/17	4:38:00PM
17-OPD-0119	5301 UNIVERSITY PARK BV	Terrell Shawn A	1/26/17	7:21:00AM
17-OPD-0120	200 E CHURCH ST	Criminal Mischief	1/26/17	8:25:00AM
17-OPD-0122	E HIGH ST // N POPLAR ST	OPD - 335.04A - Certain Acts/Display Altered	1/27/17	1:36:00AM
17-OPD-0123	30 DAY CIR	unspecified	1/27/17	11:51:00AM
17-OPD-0125	5086 College Corner Pike	OPD - 529.02E - Underage Person; Possession/Consumption	1/28/17	1:16:00AM
17-OPD-0126	327 W. Spring St.	OVI - ANY CHEMICAL	1/28/17	4:55:00AM
17-OPD-0128	121 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	1/29/17	2:23:00AM
17-OPD-0129	TALLAWANDA RD // VINE ST	OVI - ANY CHEMICAL	1/29/17	2:07:00AM
17-OPD-0131	706 W. Chestnut St.	Juvenile - Unruly	1/29/17	8:58:00AM
17-OPD-0134	5720 College Corner  Pike	OPD - 545.05 - Theft (Shoplifting)	1/29/17	1:05:00PM
17-OPD-0135	4140 Miami Western Blvd.	unspecified	1/29/17	8:16:00PM
17-OPD-0137	5720 COLLEGE CORNER PIKE	"Criminal Simulation - Utter, Possess W/ Purpose To Utter"	2/14/17	12:00:00AM
17-OPD-0138	5720 COLLEGE CORNER PIKE	Theft - 23C	1/30/17	2:13:00PM
17-OPD-0139	15 S. College Ave.	Public Indecency - Exposure	1/30/17	5:38:00PM
17-OPD-0140	5720 COLLEGE CORNER PIKE	Theft - 23C	1/30/17	4:47:00PM
17-OPD-0142	5720 COLLEGE CORNER PIKE	Theft - 23C	1/31/17	7:11:00AM
17-OPD-0143	1006 OXFORD COMMONS	Theft - 23H	1/31/17	10:42:00AM
17-OPD-0144	5262 BROWN RD	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	1/31/17	6:02:00PM
17-OPD-0145	5279 COLLEGE CORNER PIKE	Domestic Violence - knowingly cause physical harm	2/1/17	12:05:00AM
17-OPD-0147	116 W CHURCH ST	Theft - 23D	2/1/17	5:16:00PM
17-OPD-0148	169 HILLTOP RD	Carlson Derrick A	2/1/17	5:27:00PM
17-OPD-0150	5032 COLLEGE CORNER PIKE	unspecified	2/2/17	11:41:00AM
17-OPD-0152	110 N POPLAR ST	unspecified	2/3/17	1:18:00AM
17-OPD-0153	1008 ARROWHEAD DR	Driving While Under the Influence of Alcohol/Drugs	2/3/17	12:45:00AM
17-OPD-0154	5335 COLLEGE CORNER PIKE	Criminal Damaging/Endangering - Knowingly Any Means	2/3/17	1:59:00AM
17-OPD-0155	12 W. Park Place	OPD - 529.02E - Underage Person; Possession/Consumption	2/3/17	2:39:00AM
17-OPD-0156	215 N MAIN ST	unspecified	2/3/17	4:06:00AM
17-OPD-0158	325 FOXFIRE DR	Misuse Of Credit Card - Obtain As Security For Debt	2/3/17	9:53:00AM
17-OPD-0159	5720 College Corner Pike	Criminal Trespass - Fail To Leave; Recklessly	2/3/17	12:15:00PM
17-OPD-0161	5720 COLLEGE CORNER PIKE	unspecified	2/3/17	1:38:00PM
17-OPD-0163	11 S POPLAR ST	unspecified	2/3/17	4:37:00PM
17-OPD-0164	21 LYNN ST	OPD - 529.02E - Underage Person; Possession/Consumption	2/3/17	6:45:00PM
17-OPD-0165	21 LYNN ST	OPD - 529.02E - Underage Person; Possession/Consumption	2/3/17	7:35:00PM
17-OPD-0166	Fairfield Rd @ 300 S. Locust St	OVI - ANY CHEMICAL	2/3/17	9:23:00PM
17-OPD-0167	36 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	2/4/17	12:37:00AM
17-OPD-0168	223 University Ave.	BURGLARY-TRESPASS IN PERMANENT OR TEMPORARY HABITATION	2/4/17	1:10:00AM
17-OPD-0169	36 W HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	2/4/17	2:39:00AM
17-OPD-0170	208 East Sycamore Street	Impersonating a Peace Officer or Private Policeman - imperso	2/4/17	6:22:00AM
17-OPD-0171	11 S POPLAR ST	Theft - 23F	2/4/17	8:03:00AM
17-OPD-0172	215 FOXFIRE DR	Theft - 23F	2/4/17	2:20:00PM
17-OPD-0174	11 S POPLAR ST	Theft -Without Consent	2/4/17	7:43:00PM
17-OPD-0175	15 W HIGH ST	Theft - 23D	2/4/17	9:03:00PM
17-OPD-0176	0 N CAMPUS AV	CERTAIN ACTS PROHIBTED	2/4/17	11:45:00PM
17-OPD-0178	21 N Main St.	OVI - ANY CHEMICAL	2/5/17	1:39:00AM
17-OPD-0179	100 E COLLINS ST	Criminal Damaging/Endangering - Knowingly Any Means	2/5/17	10:06:00AM
17-OPD-0181	TALLAWANDA RD	Criminal Mischief	2/5/17	12:26:00PM
17-OPD-0184	112 JACQUELINE DR	Theft - 23F	2/6/17	9:18:00AM
17-OPD-0188	5032 COLLEGE CORNER PIKE	Aggravated Burglary - Inflict Harm	2/6/17	8:47:00PM
17-OPD-0190	216 W HIGH ST	Criminal Mischief	2/7/17	6:11:00PM
17-OPD-0191	5032 College Corner Pike	Assault	2/8/17	12:50:00AM
17-OPD-0193	5141 RED CLOUD CT	Theft - victim is elderly person or disabled adult	2/8/17	4:52:00PM
17-OPD-0195	36 E HIGH ST	DISORDERLY CONDUCT	2/8/17	12:27:00AM
17-OPD-0196	5201 COLLEGE CORNER PIKE	Burglary - Purpose To Commit Theft Offense Or Felony	2/9/17	10:49:00AM
17-OPD-0197	112 N COLLEGE AV	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	2/9/17	11:08:00PM
17-OPD-0198	3 E. Walnut St	OPD - 529.02E - Underage Person; Possession/Consumption	2/10/17	12:01:00AM
17-OPD-0199	36 E HIGH ST	Criminal Damaging/Endangering - Knowingly Any Means	2/10/17	12:24:00AM
17-OPD-0200	45 E High St.	OPD - 529.02E - Underage Person; Possession/Consumption	2/10/17	1:13:00AM
17-OPD-0202	100-BLK N POPLAR ST	Driving While Under the Influence of Alcohol/Drugs	2/10/17	2:43:00AM
17-OPD-0203	110 N POPLAR ST	Theft - victim is elderly person or disabled adult	2/10/17	3:35:00PM
17-OPD-0204	5720 COLLEGE CORNER PIKE	Attempt - USE FOR ORC ARREST OFFENSE CODE ONLY	2/10/17	5:29:00PM
17-OPD-0208	110 N POPLAR ST	unspecified	2/11/17	10:00:00PM
17-OPD-0209	15 S. Poplar Street	Disorderly Conduct - intoxicated create risk of harm	2/11/17	1:09:00AM
17-OPD-0210	15 W High St.	Felonious Assault - Weapon Or Ordnance	2/11/17	1:25:00AM
17-OPD-0211	101 W HIGH ST	OVI - ANY CHEMICAL	2/11/17	2:30:00AM
17-OPD-0212	130 E. High Street	Disorderly Conduct - intoxicated annoy or alarm	2/11/17	2:29:00AM
17-OPD-0213	521 S COLLEGE AV	Theft - 23D	2/11/17	7:53:00AM
17-OPD-0215	300 TALLAWANDA RD	Criminal Damaging/Endangering - Knowingly Any Means	2/11/17	12:17:00PM
17-OPD-0220	15 N. Campus Ave	Obstructing Official Business	2/11/17	3:40:00PM
17-OPD-0224	1 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	2/11/17	6:50:00PM
17-OPD-0228	S BEECH ST // W WALNUT ST	CRIMINAL DAMAGING OR ENDANGERING	2/12/17	12:05:00AM
17-OPD-0229	15 W HIGH ST	OPD - 529.02E - Underage Person; Possession/Consumption	2/12/17	12:38:00AM
17-OPD-0230	E CHURCH ST / N POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	2/12/17	12:17:00AM
17-OPD-0231	36 E HIGH ST	OPD - 529.02E - Underage Person; Possession/Consumption	2/12/17	1:08:00AM
17-OPD-0232	3770 Southpointe Pkwy	Rape_victim mental or physical disability	2/12/17	2:47:00AM
17-OPD-0233	3770 Southointe Pkwy	unspecified	2/12/17	11:40:00AM
17-OPD-0234	15 W HIGH ST	Criminal Damaging/Endangering - Knowingly Any Means	2/12/17	8:59:00AM
17-OPD-0237	5720 COLLEGE CORNER PIKE	Theft - 23C	2/12/17	2:01:00PM
17-OPD-0238	E. Church St. / N. Campus Ave	OPD - 529.02E - Underage Person; Possession/Consumption	2/11/17	4:16:00PM
17-OPD-0239	5720 COLLEGE CORNER PIKE	Theft - 23C	2/12/17	4:02:00PM
17-OPD-0240	S PATTERSON AV // E CHESTNUT ST	Failure to Comply with Order or Signal of P.O. - elude or f	2/4/17	12:41:00AM
17-OPD-0241	5399 COLLEGE CORNER PIKE	Theft - motor vehicle	2/10/17	10:43:00PM
17-OPD-0242	5720 College Corner Pike	Theft -Without Consent - 23C	2/13/17	2:57:00PM
17-OPD-0243	37 MEADOW CIR	Passing Bad Checks	2/13/17	5:54:00PM
17-OPD-0245	5301 UNIVERSITY PARK BV	Inducing Panic - circulating report/warning	2/14/17	12:24:00PM
17-OPD-0248	31 E HIGH ST	Theft -Without Consent	2/14/17	11:11:00PM
17-OPD-0249	5720 COLLEGE CORNER PIKE	Theft -Without Consent	2/15/17	2:21:00AM
17-OPD-0250	330 S CAMPUS AV	Theft -Deception	2/15/17	3:42:00PM
17-OPD-0253	11 N COLLEGE AV	Theft -Without Consent	2/16/17	12:00:00PM
17-OPD-0254	5720 COLLEGE CORNER PIKE	Theft -Without Consent - 23C	2/16/17	12:55:00PM
17-OPD-0255	0 Block N. Beech St.	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	2/17/17	12:13:00AM
17-OPD-0256	600 BLOCK MELISSA DR	Sale of Liquor to Underage Person - underage consume beer in	2/17/17	1:02:00AM
17-OPD-0258	0-BLK N COLLEGE AV	OVI - ANY CHEMICAL	2/17/17	2:39:00AM
17-OPD-0262	5201 COLLEGE CORNER PIKE	Theft - 23H	2/17/17	2:09:00PM
17-OPD-0263	O block E. Collins Ave.	Criminal Damaging/Endangering - Knowingly Any Means	2/17/17	2:53:00PM
17-OPD-0266	115 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	2/17/17	9:52:00PM
17-OPD-0271	36 E HIGH ST	Sales to and use by Minors; Securing Public Accomodations	2/17/17	11:44:00PM
17-OPD-0273	15 W HIGH ST	OPD - 335.04A - Certain Acts/Display Altered	2/18/17	12:29:00AM
17-OPD-0275	15 W HIGH ST	OPD - 529.02E - Underage Person; Possession/Consumption	2/18/17	12:53:00AM
17-OPD-0276	15 West High Street	OPEN CONTAINER PROHIBITED	2/18/17	12:53:00AM
17-OPD-0277	15 W HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	2/18/17	12:53:00AM
17-OPD-0279	5100 Block College Corner Pk.	OVI - ANY CHEMICAL	2/18/17	12:02:00AM
17-OPD-0280	17 N. Poplar St.	OPD - 529.02E - Underage Person; Possession/Consumption	2/18/17	2:06:00AM
17-OPD-0282	W CHURCH ST // N BEECH ST	Sale of Liquor to Underage Person - underage consume beer in	2/18/17	2:56:00AM
17-OPD-0284	33 E HIGH ST	Assault - Knowingly Harm Victim	2/18/17	9:03:00AM
17-OPD-0288	205 E VINE ST	Criminal Damaging/Endangering - Knowingly Any Means	2/18/17	12:48:00PM
17-OPD-0289	400 E VINE ST	Theft - 23H	2/18/17	1:41:00PM
17-OPD-0291	36 East High Street	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	2/18/17	2:02:00PM
17-OPD-0293	375 S COLLEGE AV	PHYSICAL CONTROL OF VEHICLE WHILE UNDER INFLUENCE	2/18/17	1:17:00PM
17-OPD-0297	N. Beech St. & W. Vine St.	OPD - 529.02E - Underage Person; Possession/Consumption	2/18/17	3:13:00PM
17-OPD-0298	17 North Poplar Street	CERTAIN ACTS PROHIBTED	2/18/17	3:35:00PM
17-OPD-0300	17 N POPLAR ST	OPD - 529.02E - Underage Person; Possession/Consumption	2/18/17	1:45:00AM
17-OPD-0301	416 S MAIN ST	Obstructing Official Business	2/19/17	12:20:00AM
17-OPD-0302	25 E HIGH ST	OPD - 529.02E - Underage Person; Possession/Consumption	2/19/17	1:46:00AM
17-OPD-0303	325 E SYCAMORE ST	Criminal Damaging/Endangering - Knowingly Any Means	2/19/17	3:31:00AM
17-OPD-0304	N MAIN ST // CHURCH ST	OVI - ANY CHEMICAL	2/19/17	2:25:00AM
17-OPD-0314	507 N BEECH ST	Theft -Without Consent	2/21/17	9:11:00AM
17-OPD-0315	123 N BEECH ST	Theft -Without Consent	2/21/17	3:57:00PM
17-OPD-0316	5285 COLLEGE CORNER PIKE	Theft	2/21/17	4:01:00PM
17-OPD-0318	1 Miami Commons	Theft -Without Consent	2/22/17	9:25:00AM
17-OPD-0319	5301 UNIVERSITY PARK BV	Inducing Panic - circulating report/warning	2/22/17	9:48:00AM
17-OPD-0320	215 N ELM ST	Theft	2/22/17	2:10:00PM
17-OPD-0321	6 MIAMI COMMONS	Theft -Without Consent	2/22/17	6:06:00PM
17-OPD-0323	16 E WALNUT ST	Theft	2/23/17	6:10:00PM
17-OPD-0324	5265 COLLEGE CORNER PIKE	CRIMINAL DAMAGING OR ENDANGERING	2/23/17	10:55:00PM
17-OPD-0326	E HIGH ST // N POPLAR ST	Obstructing Official Business	2/24/17	2:05:00AM
17-OPD-0327	45 East High Street	Theft -Without Consent	2/24/17	2:14:00AM
17-OPD-0328	110 N POPLAR ST	Theft - 23D	2/24/17	9:50:00PM
17-OPD-0329	W WALNUT ST // S COLLEGE AV	DC-CONDUCT THAT PRESENTS A RISK OF PHYSICAL HARM TO OFFENDER	2/25/17	12:42:00AM
17-OPD-0332	211 S POPLAR ST	Criminal Damaging/Endangering	2/25/17	1:09:00AM
17-OPD-0333	E HIGH ST // N POPLAR ST	"DISPLAY A FICTICIOUS, CANCELED, SUSPENDED OR ALTERED LICENSE"	2/25/17	1:46:00AM
17-OPD-0334	Zero block S POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	2/25/17	1:51:00AM
17-OPD-0337	1 W HIGH ST	Assault - Knowingly Harm Victim	2/25/17	2:39:00AM
17-OPD-0338	24 West High St.	Assault	2/24/17	3:14:00AM
17-OPD-0340	118 S LOCUST ST	Telephone Harassment	2/25/17	3:32:00PM
17-OPD-0341	716 S COLLEGE AV	Theft - 23F	2/26/17	12:01:00AM
17-OPD-0342	17 N POPLAR ST	ASSAULT	2/25/17	10:20:00PM
17-OPD-0343	419 N POPLAR ST	OVI - ANY CHEMICAL	2/26/17	2:29:00AM
17-OPD-0345	5201 COLLEGE CORNER PIKE	Unruly Juvenile Offenses	2/26/17	11:55:00AM
17-OPD-0346	623 S COLLEGE AV	Theft -Without Consent	2/26/17	2:26:00PM
17-OPD-0347	323 N CAMPUS AV	Theft	2/26/17	5:35:00PM
17-OPD-0348	5032 COLLEGE CORNER PIKE	WARRANT ASSIST / ARREST	2/27/17	4:16:00AM
17-OPD-0349	5141 RED CLOUD CT	WARRANT ASSIST / ARREST	2/27/17	6:40:00AM
17-OPD-0350	MIAMI WESTERN	unspecified	2/27/17	1:44:00PM
17-OPD-0351	375 Upton Hall	Varley Jon A	2/27/17	2:27:00PM
17-OPD-0354	4163 INDIAN TRACE DR	Criminal Mischief	3/2/17	9:16:00AM
17-OPD-0356	203 S LOCUST ST	unspecified	3/2/17	1:37:00PM
17-OPD-0359	36 E HIGH ST	OPD- SALES TO AND USE BY UNDERAGE PERSONS	3/3/17	12:59:00AM
17-OPD-0367	17 N POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	3/4/17	12:06:00AM
17-OPD-0368	0-BLK E SPRING ST	SALES TO AND USE BY UNDERAGE PERSONS; SECURING PUBLIC ACCOMO	3/4/17	12:07:00AM
17-OPD-0369	121 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS; SECURING PUBLIC ACCOMO	3/4/17	12:25:00AM
17-OPD-0371	117 Bishop Street	OPD- SALES TO AND USE BY UNDERAGE PERSONS	3/4/17	1:16:00AM
17-OPD-0373	121 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS; SECURING PUBLIC ACCOMO	3/4/17	12:52:00AM
17-OPD-0375	33 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	3/4/17	1:51:00AM
17-OPD-0379	36 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	3/4/17	3:00:00PM
17-OPD-0382	114 BISHOP ST	Sale of Liquor to Underage Person - underage consume beer in	3/4/17	4:08:00PM
17-OPD-0384	25 E HIGH ST	PROHIBITED ACTS	3/4/17	11:17:00PM
17-OPD-0385	36 E HIGH ST	PROHIBITED ACTS	3/4/17	11:14:00PM
17-OPD-0386	25 E HIGH ST	PROHIBITED ACTS	3/4/17	11:41:00PM
17-OPD-0387	E HIGH ST // N POPLAR ST	OPD- Dc/Intox;Harmful Condition	3/4/17	10:45:00PM
17-OPD-0388	25 E HIGH ST	PROHIBITED ACTS	3/4/17	11:51:00PM
17-OPD-0389	17 N POPLAR ST	PROHIBITED ACTS	3/5/17	12:33:00AM
17-OPD-0390	17 N POPLAR ST	PROHIBITED ACTS	3/5/17	12:51:00AM
17-OPD-0391	17 N POPLAR ST	PROHIBITED ACTS	3/5/17	1:12:00AM
17-OPD-0393	17 N POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	3/5/17	1:07:00AM
17-OPD-0394	31 E HIGH ST	OPD - 541.04A1 - Criminal Mischief;Damage / OPD-  Criminal M	3/5/17	1:20:00AM
17-OPD-0395	SOUTHPOINTE PKWY // MILLVILLE OXFORD RD	Sale of Liquor to Underage Person - underage consume beer in	3/5/17	1:09:00AM
17-OPD-0396	45 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	3/5/17	1:54:00AM
17-OPD-0398	11 N COLLEGE AV	Disorderly Conduct - intoxicated annoy or alarm	3/5/17	3:08:00AM
17-OPD-0400	601 S LOCUST ST	unspecified	3/5/17	1:21:00PM
17-OPD-0401	5055 COLLEGE CORNER PIKE	Theft - 23C	3/5/17	3:18:00PM
17-OPD-0402	111 S BEECH ST	Theft	3/5/17	6:04:00PM
17-OPD-0403	706 W CHESTNUT ST	Domestic Violence - knowingly cause physical harm	3/5/17	7:23:00PM
17-OPD-0404	36 E. High St.	OPD- Certain Acts/Display Altered	3/5/17	12:30:00AM
17-OPD-0405	36 E. High St.	OPD- Certain Acts/Display Altered	3/4/17	11:33:00PM
17-OPD-0406	206 N COLLEGE AV	Theft - 23F	3/6/17	8:29:00AM
